# NE_LO   sin2theta_W   A(s)   dchi2
    2    4.833333E-03    4.215495E-02    4.903253E+03
    3    4.833333E-03    4.215495E-02    3.707105E+03
    4    4.833333E-03    4.215495E-02    2.819074E+03
    1    5.000000E-03    4.238796E-02    6.714970E+03
    2    5.000000E-03    4.238796E-02    4.900868E+03
    3    5.000000E-03    4.238796E-02    3.705301E+03
    4    5.000000E-03    4.238796E-02    2.817703E+03
    1    5.166667E-03    4.262160E-02    6.711694E+03
    2    5.166667E-03    4.262160E-02    4.898476E+03
    3    5.166667E-03    4.262160E-02    3.703493E+03
    4    5.166667E-03    4.262160E-02    2.816328E+03
    1    5.333333E-03    4.285590E-02    6.708409E+03
    2    5.333333E-03    4.285590E-02    4.896079E+03
    3    5.333333E-03    4.285590E-02    3.701681E+03
    4    5.333333E-03    4.285590E-02    2.814950E+03
    1    5.500000E-03    4.309083E-02    6.705116E+03
    2    5.500000E-03    4.309083E-02    4.893676E+03
    3    5.500000E-03    4.309083E-02    3.699864E+03
    4    5.500000E-03    4.309083E-02    2.813568E+03
    1    5.666667E-03    4.332641E-02    6.701815E+03
    2    5.666667E-03    4.332641E-02    4.891267E+03
    3    5.666667E-03    4.332641E-02    3.698042E+03
    4    5.666667E-03    4.332641E-02    2.812183E+03
    1    5.833333E-03    4.356262E-02    6.698506E+03
    2    5.833333E-03    4.356262E-02    4.888852E+03
    3    5.833333E-03    4.356262E-02    3.696216E+03
    4    5.833333E-03    4.356262E-02    2.810794E+03
    1    6.000000E-03    4.379948E-02    6.695189E+03
    2    6.000000E-03    4.379948E-02    4.886430E+03
    3    6.000000E-03    4.379948E-02    3.694386E+03
    4    6.000000E-03    4.379948E-02    2.809402E+03
    1    6.166667E-03    4.403699E-02    6.691863E+03
    2    6.166667E-03    4.403699E-02    4.884003E+03
    3    6.166667E-03    4.403699E-02    3.692551E+03
    4    6.166667E-03    4.403699E-02    2.808007E+03
    1    6.333333E-03    4.427513E-02    6.688530E+03
    2    6.333333E-03    4.427513E-02    4.881570E+03
    3    6.333333E-03    4.427513E-02    3.690711E+03
    4    6.333333E-03    4.427513E-02    2.806608E+03
    1    6.500000E-03    4.451392E-02    6.685188E+03
    2    6.500000E-03    4.451392E-02    4.879131E+03
    3    6.500000E-03    4.451392E-02    3.688867E+03
    4    6.500000E-03    4.451392E-02    2.805206E+03
    1    6.666667E-03    4.475335E-02    6.681838E+03
    2    6.666667E-03    4.475335E-02    4.876686E+03
    3    6.666667E-03    4.475335E-02    3.687019E+03
    4    6.666667E-03    4.475335E-02    2.803800E+03
    1    6.833333E-03    4.499342E-02    6.678480E+03
    2    6.833333E-03    4.499342E-02    4.874235E+03
    3    6.833333E-03    4.499342E-02    3.685166E+03
    4    6.833333E-03    4.499342E-02    2.802391E+03
    1    7.000000E-03    4.523413E-02    6.675114E+03
    2    7.000000E-03    4.523413E-02    4.871779E+03
    3    7.000000E-03    4.523413E-02    3.683308E+03
    4    7.000000E-03    4.523413E-02    2.800978E+03
    1    7.166667E-03    4.547549E-02    6.671739E+03
    2    7.166667E-03    4.547549E-02    4.869316E+03
    3    7.166667E-03    4.547549E-02    3.681446E+03
    4    7.166667E-03    4.547549E-02    2.799562E+03
    1    7.333333E-03    4.571748E-02    6.668357E+03
    2    7.333333E-03    4.571748E-02    4.866847E+03
    3    7.333333E-03    4.571748E-02    3.679580E+03
    4    7.333333E-03    4.571748E-02    2.798143E+03
    1    7.500000E-03    4.596012E-02    6.664966E+03
    2    7.500000E-03    4.596012E-02    4.864373E+03
    3    7.500000E-03    4.596012E-02    3.677709E+03
    4    7.500000E-03    4.596012E-02    2.796720E+03
    1    7.666667E-03    4.620341E-02    6.661567E+03
    2    7.666667E-03    4.620341E-02    4.861892E+03
    3    7.666667E-03    4.620341E-02    3.675834E+03
    4    7.666667E-03    4.620341E-02    2.795294E+03
    1    7.833333E-03    4.644733E-02    6.658161E+03
    2    7.833333E-03    4.644733E-02    4.859406E+03
    3    7.833333E-03    4.644733E-02    3.673954E+03
    4    7.833333E-03    4.644733E-02    2.793865E+03
    1    8.000000E-03    4.669190E-02    6.654746E+03
    2    8.000000E-03    4.669190E-02    4.856913E+03
    3    8.000000E-03    4.669190E-02    3.672069E+03
    4    8.000000E-03    4.669190E-02    2.792432E+03
    1    8.166667E-03    4.693711E-02    6.651323E+03
    2    8.166667E-03    4.693711E-02    4.854415E+03
    3    8.166667E-03    4.693711E-02    3.670181E+03
    4    8.166667E-03    4.693711E-02    2.790995E+03
    1    8.333333E-03    4.718296E-02    6.647892E+03
    2    8.333333E-03    4.718296E-02    4.851911E+03
    3    8.333333E-03    4.718296E-02    3.668287E+03
    4    8.333333E-03    4.718296E-02    2.789555E+03
    1    8.500000E-03    4.742945E-02    6.644452E+03
    2    8.500000E-03    4.742945E-02    4.849401E+03
    3    8.500000E-03    4.742945E-02    3.666390E+03
    4    8.500000E-03    4.742945E-02    2.788112E+03
    1    8.666667E-03    4.767658E-02    6.641005E+03
    2    8.666667E-03    4.767658E-02    4.846885E+03
    3    8.666667E-03    4.767658E-02    3.664488E+03
    4    8.666667E-03    4.767658E-02    2.786666E+03
    1    8.833333E-03    4.792436E-02    6.637550E+03
    2    8.833333E-03    4.792436E-02    4.844363E+03
    3    8.833333E-03    4.792436E-02    3.662581E+03
    4    8.833333E-03    4.792436E-02    2.785216E+03
    1    9.000000E-03    4.817278E-02    6.634086E+03
    2    9.000000E-03    4.817278E-02    4.841835E+03
    3    9.000000E-03    4.817278E-02    3.660670E+03
    4    9.000000E-03    4.817278E-02    2.783763E+03
    1    9.166667E-03    4.842184E-02    6.630615E+03
    2    9.166667E-03    4.842184E-02    4.839302E+03
    3    9.166667E-03    4.842184E-02    3.658754E+03
    4    9.166667E-03    4.842184E-02    2.782306E+03
    1    9.333333E-03    4.867155E-02    6.627136E+03
    2    9.333333E-03    4.867155E-02    4.836762E+03
    3    9.333333E-03    4.867155E-02    3.656834E+03
    4    9.333333E-03    4.867155E-02    2.780846E+03
    1    9.500000E-03    4.892189E-02    6.623648E+03
    2    9.500000E-03    4.892189E-02    4.834217E+03
    3    9.500000E-03    4.892189E-02    3.654910E+03
    4    9.500000E-03    4.892189E-02    2.779383E+03
    1    9.666667E-03    4.917288E-02    6.620153E+03
    2    9.666667E-03    4.917288E-02    4.831666E+03
    3    9.666667E-03    4.917288E-02    3.652981E+03
    4    9.666667E-03    4.917288E-02    2.777916E+03
    1    9.833333E-03    4.942451E-02    6.616649E+03
    2    9.833333E-03    4.942451E-02    4.829109E+03
    3    9.833333E-03    4.942451E-02    3.651048E+03
    4    9.833333E-03    4.942451E-02    2.776446E+03
    1    1.000000E-02    4.967679E-02    6.613138E+03
    2    1.000000E-02    4.967679E-02    4.826546E+03
    3    1.000000E-02    4.967679E-02    3.649110E+03
    4    1.000000E-02    4.967679E-02    2.774972E+03
    1    1.016667E-02    4.992970E-02    6.609618E+03
    2    1.016667E-02    4.992970E-02    4.823977E+03
    3    1.016667E-02    4.992970E-02    3.647168E+03
    4    1.016667E-02    4.992970E-02    2.773495E+03
    1    1.033333E-02    5.018326E-02    6.606091E+03
    2    1.033333E-02    5.018326E-02    4.821403E+03
