# EEE =   0.328000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  5.556946182728E-01    9.60430308130763E-02       6    5.80247172984875E-01    3.27653149201252E+00
  5.629536921151E-01    9.01886396313238E-02       6    5.88267245834836E-01    3.33772877238394E+00
  5.702127659574E-01    8.46795125416147E-02       6    5.87173487047305E-01    3.39884427064612E+00
  5.774718397997E-01    7.94931796845438E-02       6    5.86099860224433E-01    3.45991317169051E+00
  5.847309136421E-01    7.46125010360974E-02       6    5.86904137938435E-01    3.52089676433502E+00
  5.919899874844E-01    7.00178212059088E-02       6    5.89019247935300E-01    3.58182290897287E+00
  5.992490613267E-01    6.56930132124659E-02       6    5.82748824483995E-01    3.64266672620824E+00
  6.065081351690E-01    6.16226800095564E-02       6    5.85188978971512E-01    3.70344013922370E+00
  6.137672090113E-01    5.77912087336349E-02       6    5.92102884457402E-01    3.76413533503900E+00
  6.210262828536E-01    5.41849097543990E-02       7    5.84544411384994E-01    3.82474894821264E+00
  6.282853566959E-01    5.07913106012836E-02       7    5.84997965217451E-01    3.88528548473146E+00
  6.355444305382E-01    4.75979172834444E-02       7    5.88991807766316E-01    3.94573355750112E+00
  6.428035043805E-01    4.45930207877486E-02       7    5.91638737191829E-01    4.00610661676724E+00
  6.500625782228E-01    4.17658620637693E-02       7    5.87831465911091E-01    4.06638358934033E+00
  6.573216520651E-01    3.91063000300322E-02       7    5.89969848172080E-01    4.12658962579666E+00
  6.645807259074E-01    3.66047745860460E-02       7    5.89811934885143E-01    4.18669115272612E+00
  6.718397997497E-01    3.42522719563234E-02       7    5.90682402298027E-01    4.24672105254962E+00
  6.790988735920E-01    3.20402922164238E-02       7    5.84187257139221E-01    4.30665143972712E+00
  6.863579474343E-01    2.99608188603039E-02       7    5.90447658895035E-01    4.36650187025289E+00
  6.936170212766E-01    2.80064375359243E-02       8    5.87480671600684E-01    4.42626027479562E+00
  7.008760951189E-01    2.61702074307919E-02       8    5.90928096890180E-01    4.48593109487239E+00
  7.081351689612E-01    2.44450909806667E-02       8    5.80334091287016E-01    4.54551319403491E+00
  7.153942428035E-01    2.28247272555537E-02       8    5.89217273821606E-01    4.60500441884214E+00
  7.226533166458E-01    2.13032915327426E-02       8    5.93346956906726E-01    4.66441070492233E+00
  7.299123904881E-01    1.98754346747782E-02       8    5.87112562276889E-01    4.72372134451707E+00
  7.371714643304E-01    1.85353116784932E-02       8    5.88302942306738E-01    4.78295333874403E+00
  7.444305381727E-01    1.72782474062154E-02       8    5.92931672023080E-01    4.84208438287057E+00
  7.516896120150E-01    1.60994520387552E-02       8    5.86776201308905E-01    4.90113838544475E+00
  7.589486858573E-01    1.49942377411543E-02       8    5.89291194994675E-01    4.96009349679243E+00
  7.662077596996E-01    1.39587292874999E-02       9    5.89097951016796E-01    5.01896838199217E+00
  7.734668335419E-01    1.29885309445851E-02       9    5.92170909206654E-01    5.07775007364922E+00
  7.807259073842E-01    1.20801701809949E-02       9    5.85844039086994E-01    5.13644893829557E+00
  7.879849812265E-01    1.12298894952559E-02       9    5.92582805059611E-01    5.19505776652246E+00
  7.952440550688E-01    1.04342424397222E-02       9    5.82862332668462E-01    5.25358179442486E+00
  8.025031289111E-01    9.69034263658297E-03       9    5.87114865015529E-01    5.31202098876892E+00
  8.097622027534E-01    8.99480874865686E-03       9    5.82373280653681E-01    5.37037077292080E+00
  8.170212765957E-01    8.34485583001195E-03       9    5.88491299581101E-01    5.42864166043187E+00
  8.242803504380E-01    7.73802785457775E-03       9    5.81873297925797E-01    5.48682053949688E+00
  8.315394242804E-01    7.17149706646559E-03      10    5.78852847040248E-01    5.54492319753534E+00
  8.387984981227E-01    6.64287003036774E-03      10    5.80874871197859E-01    5.60293444142041E+00
  8.460575719650E-01    6.14987837111089E-03      10    5.81715266334697E-01    5.66087011998368E+00
  8.533166458073E-01    5.69043448445775E-03      10    5.83602702314270E-01    5.71871648390934E+00
  8.605757196496E-01    5.26247894764862E-03      10    5.86192070178825E-01    5.77648697833600E+00
  8.678347934919E-01    4.86401688066453E-03      10    5.83422320215948E-01    5.83417203340957E+00
  8.750938673342E-01    4.49322837497245E-03      10    5.82312789644714E-01    5.89177953497608E+00
  8.823529411765E-01    4.14839163697274E-03      10    5.73318644048877E-01    5.94930582848580E+00
  8.896120150188E-01    3.82787839723626E-03      10    5.80527234234677E-01    6.00675148659139E+00
  8.968710888611E-01    3.53014952511933E-03      10    5.84472816165497E-01    6.06412163988541E+00
  9.041301627034E-01    3.25375083717349E-03      10    5.83045708291296E-01    6.12140953836172E+00
  9.113892365457E-01    2.99730908854786E-03      11    5.75193820298501E-01    6.17862481943893E+00
  9.186483103880E-01    2.75952813732775E-03      11    5.82162009246563E-01    6.23575741174910E+00
  9.259073842303E-01    2.53918527246552E-03      11    5.86945838479903E-01    6.29282121889155E+00
  9.331664580726E-01    2.33512769663855E-03      11    5.80357650006001E-01    6.34979970224623E+00
  9.404255319149E-01    2.14627122276528E-03      11    5.82297788618355E-01    6.40671141591567E+00
  9.476846057572E-01    1.97165077553635E-03      11    5.75138327987951E-01    6.46354308620595E+00
  9.549436795995E-01    1.81024397207151E-03      11    5.77751496577177E-01    6.52030438611559E+00
  9.622027534418E-01    1.66114425105340E-03      11    5.81278187542120E-01    6.57698978465227E+00
  9.694618272841E-01    1.52349959863998E-03      11    5.77033156135105E-01    6.63360428482580E+00
  9.767209011264E-01    1.39651746496691E-03      12    5.71258792371352E-01    6.69014644394478E+00
  9.839799749687E-01    1.27950645989016E-03      12    5.79178460284353E-01    6.74661695206011E+00
  9.912390488110E-01    1.17169010184200E-03      12    5.76253329429584E-01    6.80301710812259E+00
  9.984981226533E-01    1.07240780539111E-03      12    5.76886416363389E-01    6.85934532292489E+00
  1.005757196496E+00    9.81093075678285E-04      12    5.85180024324713E-01    6.91560707951809E+00
  1.013016270338E+00    8.97134041146252E-04      12    5.74858709703208E-01    6.97179475746710E+00
  1.020275344180E+00    8.19963678844498E-04      12    5.71177690850432E-01    7.02792032166293E+00
  1.027534418023E+00    7.49140007368122E-04      12    5.75157392155873E-01    7.08397110013963E+00
  1.034793491865E+00    6.84129313605660E-04      12    5.72043328199134E-01    7.13995899437702E+00
  1.042052565707E+00    6.24511907327992E-04      12    5.75687564174381E-01    7.19587712064853E+00
  1.049311639549E+00    5.69881790610050E-04      13    5.76318814607242E-01    7.25173207923487E+00
