# sin2theta_W   A(s)   chi2   dchi2
   1.600000E-02     7.808377E-02     1.900768E+01     1.165867E+01
   1.616667E-02     7.838562E-02     1.900013E+01     1.165111E+01
   1.633333E-02     7.868805E-02     1.899256E+01     1.164355E+01
   1.650000E-02     7.899106E-02     1.898498E+01     1.163597E+01
   1.666667E-02     7.929465E-02     1.897739E+01     1.162837E+01
   1.683333E-02     7.959882E-02     1.896978E+01     1.162077E+01
   1.700000E-02     7.990358E-02     1.896216E+01     1.161315E+01
   1.716667E-02     8.020892E-02     1.895453E+01     1.160552E+01
   1.733333E-02     8.051484E-02     1.894689E+01     1.159787E+01
   1.750000E-02     8.082135E-02     1.893923E+01     1.159022E+01
   1.766667E-02     8.112843E-02     1.893156E+01     1.158255E+01
   1.783333E-02     8.143610E-02     1.892388E+01     1.157487E+01
   1.800000E-02     8.174435E-02     1.891619E+01     1.156717E+01
   1.816667E-02     8.205318E-02     1.890848E+01     1.155946E+01
   1.833333E-02     8.236260E-02     1.890076E+01     1.155174E+01
   1.850000E-02     8.267260E-02     1.889303E+01     1.154401E+01
   1.866667E-02     8.298318E-02     1.888528E+01     1.153627E+01
   1.883333E-02     8.329434E-02     1.887753E+01     1.152851E+01
   1.900000E-02     8.360608E-02     1.886975E+01     1.152074E+01
   1.916667E-02     8.391841E-02     1.886197E+01     1.151296E+01
   1.933333E-02     8.423132E-02     1.885418E+01     1.150516E+01
   1.950000E-02     8.454481E-02     1.884637E+01     1.149735E+01
   1.966667E-02     8.485889E-02     1.883855E+01     1.148953E+01
   1.983333E-02     8.517354E-02     1.883072E+01     1.148170E+01
   2.000000E-02     8.548878E-02     1.882287E+01     1.147386E+01
   2.016667E-02     8.580460E-02     1.881501E+01     1.146600E+01
   2.033333E-02     8.612100E-02     1.880714E+01     1.145813E+01
   2.050000E-02     8.643799E-02     1.879926E+01     1.145024E+01
   2.066667E-02     8.675556E-02     1.879137E+01     1.144235E+01
   2.083333E-02     8.707371E-02     1.878346E+01     1.143444E+01
   2.100000E-02     8.739244E-02     1.877554E+01     1.142652E+01
   2.116667E-02     8.771175E-02     1.876761E+01     1.141859E+01
   2.133333E-02     8.803165E-02     1.875966E+01     1.141065E+01
   2.150000E-02     8.835213E-02     1.875170E+01     1.140269E+01
   2.166667E-02     8.867319E-02     1.874373E+01     1.139472E+01
   2.183333E-02     8.899483E-02     1.873575E+01     1.138674E+01
   2.200000E-02     8.931706E-02     1.872776E+01     1.137874E+01
   2.216667E-02     8.963987E-02     1.871975E+01     1.137074E+01
   2.233333E-02     8.996326E-02     1.871173E+01     1.136272E+01
   2.250000E-02     9.028723E-02     1.870370E+01     1.135469E+01
   2.266667E-02     9.061179E-02     1.869566E+01     1.134664E+01
   2.283333E-02     9.093692E-02     1.868760E+01     1.133859E+01
   2.300000E-02     9.126264E-02     1.867954E+01     1.133052E+01
   2.316667E-02     9.158895E-02     1.867146E+01     1.132244E+01
   2.333333E-02     9.191583E-02     1.866336E+01     1.131435E+01
   2.350000E-02     9.224330E-02     1.865526E+01     1.130624E+01
   2.366667E-02     9.257134E-02     1.864714E+01     1.129813E+01
   2.383333E-02     9.289998E-02     1.863901E+01     1.129000E+01
   2.400000E-02     9.322919E-02     1.863087E+01     1.128186E+01
   2.416667E-02     9.355898E-02     1.862272E+01     1.127370E+01
   2.433333E-02     9.388936E-02     1.861455E+01     1.126554E+01
   2.450000E-02     9.422032E-02     1.860638E+01     1.125736E+01
   2.466667E-02     9.455187E-02     1.859819E+01     1.124917E+01
   2.483333E-02     9.488399E-02     1.858998E+01     1.124097E+01
   2.500000E-02     9.521670E-02     1.858177E+01     1.123275E+01
   2.516667E-02     9.554999E-02     1.857354E+01     1.122453E+01
   2.533333E-02     9.588386E-02     1.856531E+01     1.121629E+01
   2.550000E-02     9.621831E-02     1.855706E+01     1.120804E+01
   2.566667E-02     9.655335E-02     1.854879E+01     1.119978E+01
   2.583333E-02     9.688897E-02     1.854052E+01     1.119150E+01
   2.600000E-02     9.722517E-02     1.853223E+01     1.118322E+01
   2.616667E-02     9.756195E-02     1.852394E+01     1.117492E+01
   2.633333E-02     9.789932E-02     1.851563E+01     1.116661E+01
   2.650000E-02     9.823726E-02     1.850730E+01     1.115829E+01
   2.666667E-02     9.857580E-02     1.849897E+01     1.114995E+01
   2.683333E-02     9.891491E-02     1.849062E+01     1.114161E+01
