# EEE =   0.990000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  6.254067584481E-01    1.24818387741963E-01       6    8.78095172386536E-01    5.08947573109996E+00
  6.295369211514E-01    1.23120539005865E-01       6    8.78747303339701E-01    5.13033522973140E+00
  6.336670838548E-01    1.21449492057753E-01       6    8.79219512409993E-01    5.17106256584070E+00
  6.377972465582E-01    1.19804545031139E-01       6    8.79611015223233E-01    5.21166060896952E+00
  6.419274092616E-01    1.18185241455660E-01       6    8.80002146601571E-01    5.25212786070176E+00
  6.460575719650E-01    1.16591768138429E-01       6    8.80392925839459E-01    5.29246819549010E+00
  6.501877346683E-01    1.15023476225338E-01       6    8.80784410378831E-01    5.33267886999738E+00
  6.543178973717E-01    1.13479449919101E-01       6    8.81175741445433E-01    5.37276120515538E+00
  6.584480600751E-01    1.11959267149620E-01       6    8.81533458719332E-01    5.41272216886995E+00
  6.625782227785E-01    1.10462513577920E-01       6    8.81774420325475E-01    5.45255915640827E+00
  6.667083854819E-01    1.08989339242379E-01       6    8.82014394504759E-01    5.49227589036305E+00
  6.708385481852E-01    1.07539066542141E-01       6    8.82255401637556E-01    5.53187362276418E+00
  6.749687108886E-01    1.06110975229320E-01       6    8.82495363243699E-01    5.57134948879624E+00
  6.790988735920E-01    1.04704682058294E-01       6    8.82736364743720E-01    5.61070860884657E+00
  6.832290362954E-01    1.03319810783854E-01       6    8.82977344555780E-01    5.64995255614280E+00
  6.873591989987E-01    1.01955992031575E-01       6    8.83020335890643E-01    5.68908182658821E+00
  6.914893617021E-01    1.00613236565527E-01       6    8.82998745800672E-01    5.72809979664530E+00
  6.956195244055E-01    9.92910470056668E-02       7    8.82977141031553E-01    5.76700475162158E+00
  6.997496871089E-01    9.79888007490425E-02       7    8.82955379487517E-01    5.80579674382587E+00
  7.038798498123E-01    9.67061560117679E-02       7    8.82933613158793E-01    5.84448117580112E+00
  7.080100125156E-01    9.54427772350347E-02       7    8.82911851614758E-01    5.88305695230786E+00
  7.121401752190E-01    9.41983349703359E-02       7    8.82874341144134E-01    5.92152783174306E+00
  7.162703379224E-01    9.29725057668551E-02       7    8.82796391576278E-01    5.95989245894586E+00
  7.204005006258E-01    9.17649720609698E-02       7    8.82719248791851E-01    5.99815208679309E+00
  7.245306633292E-01    9.05754941310909E-02       7    8.82641926924206E-01    6.03630849009328E+00
  7.286608260325E-01    8.94039780882015E-02       7    8.82564137300813E-01    6.07436306937104E+00
  7.327909887359E-01    8.82498077245632E-02       7    8.82486473532237E-01    6.11231729277528E+00
  7.369211514393E-01    8.71126890623573E-02       7    8.82411799540951E-01    6.15017277423200E+00
  7.410513141427E-01    8.59923334605981E-02       7    8.82436655949807E-01    6.18792943954040E+00
  7.451814768461E-01    8.48884575170668E-02       7    8.82487483652241E-01    6.22558849909275E+00
  7.493116395494E-01    8.38007829720620E-02       7    8.82538299051189E-01    6.26315024402189E+00
  7.534418022528E-01    8.27290366139285E-02       7    8.82589114450137E-01    6.30061722598536E+00
  7.575719649562E-01    8.16729501863324E-02       7    8.82639942152571E-01    6.33799163736212E+00
  7.617021276596E-01    8.06322602972471E-02       7    8.82690757551519E-01    6.37527305837426E+00
  7.658322903630E-01    7.96067083296111E-02       7    8.82761123826123E-01    6.41246271603851E+00
  7.699624530663E-01    7.85960403536343E-02       7    8.82867601342074E-01    6.44955956734606E+00
  7.740926157697E-01    7.76000070407093E-02       7    8.82974678331681E-01    6.48656661988499E+00
  7.782227784731E-01    7.66183635789040E-02       7    8.83081981259041E-01    6.52348594079915E+00
  7.823529411765E-01    7.56508695900008E-02       7    8.83189258212376E-01    6.56031741491035E+00
  7.864831038798E-01    7.46972890480554E-02       7    8.83295537583744E-01    6.59706168113481E+00
  7.906132665832E-01    7.37573901994414E-02       8    8.83402838093071E-01    6.63372068471531E+00
  7.947434292866E-01    7.28309454843570E-02       8    8.83655027485656E-01    6.67029256242936E+00
  7.988735919900E-01    7.19177314597603E-02       8    8.83926079911791E-01    6.70678134391501E+00
  8.030037546934E-01    7.10175287237128E-02       8    8.84197124026359E-01    6.74318722385444E+00
  8.071339173967E-01    7.01301218410955E-02       8    8.84468139487415E-01    6.77951051688922E+00
  8.112640801001E-01    6.92552992706818E-02       8    8.84739220567062E-01    6.81575304662532E+00
  8.153942428035E-01    6.83928532935320E-02       8    8.85010236028118E-01    6.85191365038118E+00
  8.195244055069E-01    6.75425799426893E-02       8    8.85214526549089E-01    6.88799426808453E+00
  8.236545682103E-01    6.67042789341551E-02       8    8.85325635106084E-01    6.92399641021061E+00
  8.277847309136E-01    6.58777535991126E-02       8    8.85436061679115E-01    6.95992073589850E+00
  8.319148936170E-01    6.50628108173837E-02       8    8.85546861825744E-01    6.99576803814158E+00
  8.360450563204E-01    6.42592609520893E-02       8    8.85657961856798E-01    7.03153906070749E+00
  8.401752190238E-01    6.34669177854952E-02       8    8.85768858346515E-01    7.06723267528554E+00
  8.443053817272E-01    6.26855984560206E-02       8    8.85865543738456E-01    7.10285152706360E+00
  8.484355444305E-01    6.19151233963862E-02       8    8.85738618630431E-01    7.13839651779989E+00
  8.525657071339E-01    6.11553162728835E-02       8    8.85583339334907E-01    7.17386864645846E+00
