# Templates de respuesta RED-100 (Interpolacion PCHIP)
# Bloques: N_puntos
5000
1.182236E+01 2.245727E-02
1.188238E+01 2.271724E-02
1.194239E+01 2.297715E-02
1.200240E+01 2.323691E-02
1.206241E+01 2.349642E-02
1.212242E+01 2.375560E-02
1.218244E+01 2.401434E-02
1.224245E+01 2.427254E-02
1.230246E+01 2.453011E-02
1.236247E+01 2.478694E-02
1.242248E+01 2.504294E-02
1.248250E+01 2.529799E-02
1.254251E+01 2.555200E-02
1.260252E+01 2.580621E-02
1.266253E+01 2.606303E-02
1.272254E+01 2.632249E-02
1.278256E+01 2.658454E-02
1.284257E+01 2.684914E-02
1.290258E+01 2.711627E-02
1.296259E+01 2.738587E-02
1.302260E+01 2.765791E-02
1.308262E+01 2.793232E-02
1.314263E+01 2.820908E-02
1.320264E+01 2.848811E-02
1.326265E+01 2.876937E-02
1.332266E+01 2.905279E-02
1.338268E+01 2.933833E-02
1.344269E+01 2.962591E-02
1.350270E+01 2.991547E-02
1.356271E+01 3.020694E-02
1.362272E+01 3.050025E-02
1.368274E+01 3.079532E-02
1.374275E+01 3.109208E-02
1.380276E+01 3.139045E-02
1.386277E+01 3.169033E-02
1.392278E+01 3.199165E-02
1.398280E+01 3.229431E-02
1.404281E+01 3.259822E-02
1.410282E+01 3.290329E-02
1.416283E+01 3.320941E-02
1.422284E+01 3.351648E-02
1.428286E+01 3.382439E-02
1.434287E+01 3.413303E-02
1.440288E+01 3.444229E-02
1.446289E+01 3.475206E-02
1.452290E+01 3.506221E-02
1.458292E+01 3.537262E-02
1.464293E+01 3.568316E-02
1.470294E+01 3.599371E-02
1.476295E+01 3.630412E-02
1.482296E+01 3.661427E-02
1.488298E+01 3.692400E-02
1.494299E+01 3.723319E-02
1.500300E+01 3.754167E-02
1.506301E+01 3.784931E-02
1.512302E+01 3.815594E-02
1.518304E+01 3.846142E-02
1.524305E+01 3.876557E-02
1.530306E+01 3.906825E-02
1.536307E+01 3.936928E-02
1.542308E+01 3.966849E-02
1.548310E+01 3.996571E-02
1.554311E+01 4.026077E-02
1.560312E+01 4.055350E-02
1.566313E+01 4.084370E-02
1.572314E+01 4.113121E-02
1.578316E+01 4.141583E-02
1.584317E+01 4.169738E-02
1.590318E+01 4.197566E-02
1.596319E+01 4.225050E-02
1.602320E+01 4.252169E-02
1.608322E+01 4.278904E-02
1.614323E+01 4.305235E-02
1.620324E+01 4.331142E-02
1.626325E+01 4.356607E-02
1.632326E+01 4.381607E-02
1.638328E+01 4.406124E-02
1.644329E+01 4.430137E-02
1.650330E+01 4.453626E-02
1.656331E+01 4.476571E-02
1.662332E+01 4.498950E-02
1.668334E+01 4.520744E-02
1.674335E+01 4.541932E-02
1.680336E+01 4.562494E-02
1.686337E+01 4.582409E-02
1.692338E+01 4.601658E-02
1.698340E+01 4.620220E-02
1.704341E+01 4.638076E-02
1.710342E+01 4.655204E-02
1.716343E+01 4.671587E-02
1.722344E+01 4.687204E-02
1.728346E+01 4.702036E-02
1.734347E+01 4.716063E-02
1.740348E+01 4.729269E-02
1.746349E+01 4.741633E-02
1.752350E+01 4.753138E-02
1.758352E+01 4.763778E-02
1.764353E+01 4.774089E-02
1.770354E+01 4.784360E-02
1.776355E+01 4.794589E-02
1.782356E+01 4.804774E-02
1.788358E+01 4.814913E-02
1.794359E+01 4.825004E-02
1.800360E+01 4.835044E-02
1.806361E+01 4.845032E-02
1.812362E+01 4.854966E-02
1.818364E+01 4.864843E-02
1.824365E+01 4.874662E-02
1.830366E+01 4.884419E-02
1.836367E+01 4.894114E-02
1.842368E+01 4.903743E-02
1.848370E+01 4.913305E-02
1.854371E+01 4.922798E-02
1.860372E+01 4.932219E-02
1.866373E+01 4.941565E-02
1.872374E+01 4.950836E-02
1.878376E+01 4.960028E-02
1.884377E+01 4.969140E-02
1.890378E+01 4.978169E-02
1.896379E+01 4.987112E-02
