# NE_LO   sin2theta_W   A(s)   dchi2
    2    4.833333E-03    1.040730E-01    3.298267E+02
    3    4.833333E-03    1.040730E-01    5.737359E+01
    4    4.833333E-03    1.040730E-01    9.751874E+00
    1    5.000000E-03    1.043849E-01    1.699265E+03
    2    5.000000E-03    1.043849E-01    3.295971E+02
    3    5.000000E-03    1.043849E-01    5.733365E+01
    4    5.000000E-03    1.043849E-01    9.745085E+00
    1    5.166667E-03    1.046972E-01    1.698080E+03
    2    5.166667E-03    1.046972E-01    3.293673E+02
    3    5.166667E-03    1.046972E-01    5.729367E+01
    4    5.166667E-03    1.046972E-01    9.738289E+00
    1    5.333333E-03    1.050101E-01    1.696894E+03
    2    5.333333E-03    1.050101E-01    3.291372E+02
    3    5.333333E-03    1.050101E-01    5.725364E+01
    4    5.333333E-03    1.050101E-01    9.731486E+00
    1    5.500000E-03    1.053233E-01    1.695706E+03
    2    5.500000E-03    1.053233E-01    3.289068E+02
    3    5.500000E-03    1.053233E-01    5.721356E+01
    4    5.500000E-03    1.053233E-01    9.724674E+00
    1    5.666667E-03    1.056371E-01    1.694517E+03
    2    5.666667E-03    1.056371E-01    3.286761E+02
    3    5.666667E-03    1.056371E-01    5.717344E+01
    4    5.666667E-03    1.056371E-01    9.717855E+00
    1    5.833333E-03    1.059513E-01    1.693326E+03
    2    5.833333E-03    1.059513E-01    3.284452E+02
    3    5.833333E-03    1.059513E-01    5.713328E+01
    4    5.833333E-03    1.059513E-01    9.711028E+00
    1    6.000000E-03    1.062660E-01    1.692135E+03
    2    6.000000E-03    1.062660E-01    3.282141E+02
    3    6.000000E-03    1.062660E-01    5.709307E+01
    4    6.000000E-03    1.062660E-01    9.704193E+00
    1    6.166667E-03    1.065811E-01    1.690942E+03
    2    6.166667E-03    1.065811E-01    3.279826E+02
    3    6.166667E-03    1.065811E-01    5.705281E+01
    4    6.166667E-03    1.065811E-01    9.697350E+00
    1    6.333333E-03    1.068967E-01    1.689747E+03
    2    6.333333E-03    1.068967E-01    3.277510E+02
    3    6.333333E-03    1.068967E-01    5.701251E+01
    4    6.333333E-03    1.068967E-01    9.690500E+00
    1    6.500000E-03    1.072128E-01    1.688551E+03
    2    6.500000E-03    1.072128E-01    3.275190E+02
    3    6.500000E-03    1.072128E-01    5.697216E+01
    4    6.500000E-03    1.072128E-01    9.683642E+00
    1    6.666667E-03    1.075294E-01    1.687354E+03
    2    6.666667E-03    1.075294E-01    3.272868E+02
    3    6.666667E-03    1.075294E-01    5.693177E+01
    4    6.666667E-03    1.075294E-01    9.676776E+00
    1    6.833333E-03    1.078464E-01    1.686156E+03
    2    6.833333E-03    1.078464E-01    3.270543E+02
    3    6.833333E-03    1.078464E-01    5.689133E+01
    4    6.833333E-03    1.078464E-01    9.669903E+00
    1    7.000000E-03    1.081639E-01    1.684956E+03
    2    7.000000E-03    1.081639E-01    3.268216E+02
    3    7.000000E-03    1.081639E-01    5.685084E+01
    4    7.000000E-03    1.081639E-01    9.663022E+00
    1    7.166667E-03    1.084818E-01    1.683754E+03
    2    7.166667E-03    1.084818E-01    3.265886E+02
    3    7.166667E-03    1.084818E-01    5.681032E+01
    4    7.166667E-03    1.084818E-01    9.656133E+00
    1    7.333333E-03    1.088002E-01    1.682552E+03
    2    7.333333E-03    1.088002E-01    3.263554E+02
    3    7.333333E-03    1.088002E-01    5.676974E+01
    4    7.333333E-03    1.088002E-01    9.649237E+00
    1    7.500000E-03    1.091191E-01    1.681348E+03
    2    7.500000E-03    1.091191E-01    3.261219E+02
    3    7.500000E-03    1.091191E-01    5.672912E+01
    4    7.500000E-03    1.091191E-01    9.642333E+00
    1    7.666667E-03    1.094385E-01    1.680143E+03
    2    7.666667E-03    1.094385E-01    3.258881E+02
    3    7.666667E-03    1.094385E-01    5.668846E+01
    4    7.666667E-03    1.094385E-01    9.635421E+00
    1    7.833333E-03    1.097583E-01    1.678936E+03
    2    7.833333E-03    1.097583E-01    3.256541E+02
    3    7.833333E-03    1.097583E-01    5.664775E+01
    4    7.833333E-03    1.097583E-01    9.628502E+00
    1    8.000000E-03    1.100785E-01    1.677729E+03
    2    8.000000E-03    1.100785E-01    3.254198E+02
    3    8.000000E-03    1.100785E-01    5.660700E+01
    4    8.000000E-03    1.100785E-01    9.621575E+00
    1    8.166667E-03    1.103993E-01    1.676519E+03
    2    8.166667E-03    1.103993E-01    3.251853E+02
    3    8.166667E-03    1.103993E-01    5.656620E+01
    4    8.166667E-03    1.103993E-01    9.614641E+00
    1    8.333333E-03    1.107205E-01    1.675309E+03
    2    8.333333E-03    1.107205E-01    3.249505E+02
