# NE_LO  F_mode   R_tot_ROI[ev/kgd]   frac_vs_NE_LO1   Ntot_ROI@192   A_90(x1)  A_90(x2)  A_90(x5)  A_90(x10)  A_90(x50)  A_90(x100)  A_90(x335)
     1   Fnest         1.111555E+01      1.000000    2.134186E+03    1.03561    1.02518    1.01592    1.01126    1.00504    1.00356    1.00195
     2   Fnest         2.159246E+00      0.194254    4.145752E+02    1.08079    1.05713    1.03613    1.02555    1.01143    1.00808    1.00441
     3   Fnest         3.769226E-01      0.033909    7.236914E+01    1.19337    1.13673    1.08648    1.06115    1.02735    1.01934    1.01056
     4   Fnest         6.415958E-02      0.005772    1.231864E+01    1.46869    1.33141    1.20960    1.14821    1.06628    1.04687    1.02561
     1   F1            1.071752E+01      1.000000    2.057763E+03    1.03626    1.02564    1.01622    1.01147    1.00513    1.00363    1.00198
     2   F1            2.642488E+00      0.246558    5.073578E+02    1.07303    1.05164    1.03266    1.02309    1.01033    1.00730    1.00399
     3   F1            6.044980E-01      0.056403    1.160636E+02    1.15269    1.10797    1.06829    1.04829    1.02159    1.01527    1.00834
     4   F1            1.356388E-01      0.012656    2.604265E+01    1.32235    1.22793    1.14416    1.10193    1.04559    1.03223    1.01761
