# sin2theta_W    chi2
  0.057203       16.9011
  0.057367       16.8913
  0.057530       16.8815
  0.057693       16.8717
  0.057857       16.8618
  0.058020       16.8520
  0.058183       16.8422
  0.058347       16.8323
  0.058510       16.8224
  0.058673       16.8126
  0.058837       16.8027
  0.059000       16.7928
  0.059163       16.7829
  0.059327       16.7730
  0.059490       16.7631
  0.059653       16.7532
  0.059817       16.7433
  0.059980       16.7333
  0.060143       16.7234
  0.060307       16.7135
  0.060470       16.7035
  0.060633       16.6935
  0.060797       16.6836
  0.060960       16.6736
  0.061123       16.6636
  0.061287       16.6536
  0.061450       16.6436
  0.061613       16.6336
  0.061777       16.6236
  0.061940       16.6135
  0.062103       16.6035
  0.062267       16.5935
  0.062430       16.5834
  0.062593       16.5734
  0.062757       16.5633
  0.062920       16.5532
  0.063083       16.5431
  0.063247       16.5331
  0.063410       16.5230
  0.063573       16.5129
  0.063737       16.5028
  0.063900       16.4926
  0.064063       16.4825
  0.064227       16.4724
  0.064390       16.4622
  0.064553       16.4521
  0.064717       16.4419
  0.064880       16.4318
  0.065043       16.4216
  0.065207       16.4114
  0.065370       16.4013
  0.065533       16.3911
  0.065697       16.3809
  0.065860       16.3707
  0.066023       16.3604
  0.066187       16.3502
  0.066350       16.3400
  0.066513       16.3298
  0.066677       16.3195
  0.066840       16.3093
  0.067003       16.2990
  0.067167       16.2888
  0.067330       16.2785
  0.067493       16.2682
  0.067657       16.2579
  0.067820       16.2477
  0.067983       16.2374
  0.068147       16.2271
  0.068310       16.2168
  0.068473       16.2064
  0.068637       16.1961
  0.068800       16.1858
  0.068963       16.1754
  0.069127       16.1651
  0.069290       16.1548
  0.069453       16.1444
  0.069617       16.1340
  0.069780       16.1237
  0.069943       16.1133
  0.070107       16.1029
  0.070270       16.0925
  0.070433       16.0821
  0.070597       16.0717
  0.070760       16.0613
  0.070923       16.0509
  0.071087       16.0405
  0.071250       16.0300
  0.071413       16.0196
  0.071577       16.0092
  0.071740       15.9987
  0.071903       15.9883
  0.072067       15.9778
  0.072230       15.9673
  0.072393       15.9569
  0.072557       15.9464
  0.072720       15.9359
  0.072883       15.9254
  0.073047       15.9149
  0.073210       15.9044
  0.073373       15.8939
  0.073537       15.8834
  0.073700       15.8729
  0.073863       15.8623
  0.074027       15.8518
  0.074190       15.8413
  0.074353       15.8307
  0.074517       15.8202
  0.074680       15.8096
  0.074843       15.7990
  0.075007       15.7885
  0.075170       15.7779
  0.075333       15.7673
  0.075497       15.7567
  0.075660       15.7461
  0.075823       15.7355
  0.075987       15.7249
  0.076150       15.7143
  0.076313       15.7037
  0.076477       15.6931
  0.076640       15.6824
  0.076803       15.6718
  0.076967       15.6612
  0.077130       15.6505
  0.077293       15.6399
  0.077457       15.6292
  0.077620       15.6186
  0.077783       15.6079
  0.077947       15.5972
  0.078110       15.5865
  0.078273       15.5759
  0.078437       15.5652
  0.078600       15.5545
  0.078763       15.5438
  0.078927       15.5331
  0.079090       15.5224
  0.079253       15.5117
  0.079417       15.5009
  0.079580       15.4902
  0.079743       15.4795
  0.079907       15.4687
  0.080070       15.4580
  0.080233       15.4473
  0.080397       15.4365
  0.080560       15.4258
  0.080723       15.4150
  0.080887       15.4042
  0.081050       15.3935
  0.081213       15.3827
  0.081377       15.3719
  0.081540       15.3611
