1SE,,2SE,,3SE,,4SE,,5SE,,6SE,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.5104602510460268,0.008562178344582902,2.5104602510460268,0.0000022884981295217957,2.5104602510460268,1.0531055707361899e-8,12.552301255230127,1.0000000000000042e-8,27.4581589958159,1.0000000000000042e-8,42.52092050209203,1e-8
7.531380753138073,0.07143854230931977,7.53138075313808,0.00008130408367887945,7.531380753138073,5.515349441892878e-8,17.573221757322173,5.515349441892878e-8,32.479079497907954,5.515349441892878e-8,47.5418410041841,2.6727989507129044e-8
12.552301255230127,0.24731953823534158,12.552301255230127,0.000752323268712176,12.552301255230127,9.016877712317031e-7,22.594142259414205,2.1175939944708895e-7,37.50000000000001,8.3435008515698e-8,52.56276150627615,2.6727989507129044e-8
17.573221757322173,0.46017322765137936,17.573221757322173,0.0035527266826243264,17.57322175732216,0.00001138098301710061,27.4581589958159,9.016877712317013e-7,42.52092050209206,3.5527266826243264e-7,57.58368200836821,1.1380983017100632e-7
22.43723849372386,0.5103465327280471,22.59414225941422,0.010531055707361877,22.59414225941422,0.00005960475385927144,32.47907949790794,0.00000425807673041216,47.541841004184114,0.000001109031343115596,62.44769874476986,1.1380983017100656e-7
27.458158995815914,0.37413962607747725,27.458158995815914,0.022884981295217884,27.4581589958159,0.0002410030128818746,37.50000000000001,0.000014741420201106225,52.56276150627614,0.0000028147394644536026,67.46861924686195,3.940085244553465e-7
32.792887029288714,0.19094086092480891,32.47907949790794,0.03461990268005183,32.479079497907954,0.0006441525999493217,42.52092050209206,0.00004369678030757071,57.58368200836819,0.0000067836069141083025,72.48953974895397,6.610354022862218e-7
37.50000000000002,0.06116695399294271,37.50000000000001,0.04043352203934767,37.50000000000001,0.001399804598013949,47.541841004184086,0.00009016877712317013,62.44769874476989,0.000011380983017100633,77.51046025104603,0.0000012952677443553301
42.52092050209206,0.011679270855560695,42.52092050209206,0.04258076730412149,42.520920502092046,0.0023484781118615684,52.56276150627615,0.00016777185295673415,67.46861924686195,0.000018131217442077473,82.53138075313805,0.0000029642178101870824
47.5418410041841,0.0012621866881430853,47.541841004184086,0.04043352203934767,47.5418410041841,0.003041907946618786,57.58368200836819,0.00024100301288187484,72.48953974895403,0.00002473195382353409,87.55230125523013,0.0000029642178101870883
52.56276150627617,0.00007720411508415302,52.56276150627617,0.03461990268005183,52.56276150627615,0.0035527266826243264,62.44769874476986,0.00029642178101870793,77.510460251046,0.00003203450204250938,92.57322175732216,0.0000032874104593189443
57.58368200836821,0.0000028147394644536026,57.58368200836821,0.025380161543010735,57.58368200836819,0.0037413962607747704,67.46861924686192,0.0003645841237070729,82.53138075313811,0.000035527266826243264,97.59414225941424,0.0000031216342887834396
62.60460251046026,5.515349441892878e-8,62.44769874476989,0.015127782816797001,62.44769874476987,0.0039400852445534654,72.48953974895394,0.00038394557167789064,87.55230125523013,0.000037413962607747895,102.4581589958159,0.00000425807673041216
67.46861924686195,1.0000000000000042e-8,67.46861924686195,0.006961400646014563,67.46861924686189,0.0039400852445534654,77.51046025104603,0.0004043352203934773,92.57322175732213,0.000037413962607747895,107.47907949790792,0.000003461990268005197
,,72.48953974895397,0.002473195382353419,72.48953974895397,0.0037413962607747778,82.53138075313808,0.0004043352203934773,97.59414225941421,0.00003741396260774797,112.5,0.0000031216342887834396
,,77.510460251046,0.0007143854230931981,77.51046025104603,0.0035527266826243338,87.55230125523013,0.0004043352203934769,102.4581589958159,0.00003940085244553473,117.52092050209208,0.000004973123145824386
,,82.53138075313808,0.00014364925262166947,82.53138075313808,0.0028885118749227543,92.25941422594141,0.00040433522039347644,107.479079497908,0.00003741396260774782,122.54184100418408,0.0000036458412370707402
,,87.55230125523013,0.000022300500321347943,87.55230125523013,0.0021175939944708872,97.59414225941418,0.0004043352203934773,112.5,0.00003940085244553473,127.56276150627616,0.0000036458412370707326
,,92.57322175732216,0.0000022884981295217957,92.57322175732216,0.001399804598013949,102.4581589958159,0.00038394557167789064,117.52092050209205,0.000037413962607747895,132.58368200836819,0.0000038394557167789104
,,97.59414225941421,2.1175939944708895e-7,97.59414225941421,0.0007143854230931987,107.47907949790795,0.0003461990268005186,122.54184100418408,0.000037413962607747895,137.44769874476987,0.000004484204325419187
,,102.45815899581592,1.0000000000000042e-8,102.4581589958159,0.0002964217810187082,112.5,0.00028147394644535966,127.56276150627613,0.00003940085244553473,142.46861924686195,0.000004258076730412151
,,,,107.63598326359832,0.00011679270855560659,117.52092050209205,0.0002063510777876421,132.5836820083682,0.00003552726682624334,147.48953974895397,0.000004484204325419178
,,,,112.50000000000003,0.00004369678030757071,122.54184100418416,0.00013640536771754888,137.44769874476987,0.000032034502042509316,152.510460251046,0.000004973123145824386
,,,,117.52092050209205,0.000011380983017100633,127.56276150627613,0.00008130408367887945,142.46861924686195,0.000024731953823534242,157.53138075313808,0.0000032874104593189443
,,,,122.5418410041841,0.0000024100301288187533,132.58368200836819,0.00003940085244553465,147.48953974895394,0.000020108088432108022,162.55230125523013,0.0000028147394644535967
,,,,127.56276150627616,5.960475385927156e-7,137.4476987447699,0.000017216903932435345,152.510460251046,0.000011380983017100633,167.5732217573222,0.0000026727989507129043
,,,,132.5836820083682,5.8082452218141135e-8,142.46861924686192,0.000006441525999493237,157.53138075313808,0.000008786587226230284,172.5941422594142,0.0000020635107778764252
,,,,137.4476987447699,2.6727989507129044e-8,147.48953974895394,0.0000026727989507129043,162.55230125523013,0.000004722340555418254,177.4581589958159,0.0000015931152357256132
,,,,142.31171548117155,1.0000000000000042e-8,152.51046025104603,5.374487766218061e-7,167.57322175732216,0.0000021730946954558315,182.47907949790795,0.0000014364925262166974
,,,,,,157.53138075313808,1.4741420201106227e-7,172.5941422594142,0.0000011090313431155984,187.5,9.016877712317031e-7
,,,,,,162.55230125523013,5.515349441892878e-8,177.4581589958159,4.369678030757071e-7,192.52092050209205,4.846109895433218e-7
,,,,,,167.57322175732216,1.0000000000000042e-8,182.47907949790795,2.6727989507129044e-8,197.54184100418408,3.0419079466187953e-7
,,,,,,,,187.5,5.515349441892878e-8,202.56276150627613,1.4741420201106227e-7
,,,,,,,,192.52092050209205,1.0000000000000042e-8,207.58368200836819,1.1380983017100632e-7
,,,,,,,,197.54184100418408,1.0000000000000042e-8,212.44769874476984,2.6727989507129097e-8
,,,,,,,,202.56276150627613,2.2884981295217955e-8,217.4686192468619,1.0000000000000042e-8
,,,,,,,,207.58368200836819,1.0000000000000081e-8,,
