# sin2theta_W   A(s)   chi2   dchi2
   1.600000E-02     1.260007E-01     1.751045E+01     2.043047E-04
   1.616667E-02     1.263439E-01     1.751045E+01     2.065850E-04
   1.633333E-02     1.266875E-01     1.751045E+01     2.088685E-04
   1.650000E-02     1.270316E-01     1.751046E+01     2.111551E-04
   1.666667E-02     1.273761E-01     1.751046E+01     2.134448E-04
   1.683333E-02     1.277211E-01     1.751046E+01     2.157376E-04
   1.700000E-02     1.280666E-01     1.751046E+01     2.180336E-04
   1.716667E-02     1.284125E-01     1.751047E+01     2.203328E-04
   1.733333E-02     1.287590E-01     1.751047E+01     2.226351E-04
   1.750000E-02     1.291058E-01     1.751047E+01     2.249405E-04
   1.766667E-02     1.294532E-01     1.751047E+01     2.272491E-04
   1.783333E-02     1.298010E-01     1.751047E+01     2.295608E-04
   1.800000E-02     1.301493E-01     1.751048E+01     2.318757E-04
   1.816667E-02     1.304980E-01     1.751048E+01     2.341937E-04
   1.833333E-02     1.308472E-01     1.751048E+01     2.365148E-04
   1.850000E-02     1.311969E-01     1.751048E+01     2.388391E-04
   1.866667E-02     1.315470E-01     1.751049E+01     2.411665E-04
   1.883333E-02     1.318976E-01     1.751049E+01     2.434971E-04
   1.900000E-02     1.322487E-01     1.751049E+01     2.458308E-04
   1.916667E-02     1.326003E-01     1.751049E+01     2.481677E-04
   1.933333E-02     1.329523E-01     1.751050E+01     2.505077E-04
   1.950000E-02     1.333048E-01     1.751050E+01     2.528509E-04
   1.966667E-02     1.336577E-01     1.751050E+01     2.551972E-04
   1.983333E-02     1.340111E-01     1.751050E+01     2.575466E-04
   2.000000E-02     1.343650E-01     1.751050E+01     2.598992E-04
   2.016667E-02     1.347193E-01     1.751051E+01     2.622550E-04
   2.033333E-02     1.350741E-01     1.751051E+01     2.646139E-04
   2.050000E-02     1.354294E-01     1.751051E+01     2.669759E-04
   2.066667E-02     1.357852E-01     1.751051E+01     2.693411E-04
   2.083333E-02     1.361414E-01     1.751052E+01     2.717094E-04
   2.100000E-02     1.364980E-01     1.751052E+01     2.740809E-04
   2.116667E-02     1.368552E-01     1.751052E+01     2.764555E-04
   2.133333E-02     1.372128E-01     1.751052E+01     2.788332E-04
   2.150000E-02     1.375709E-01     1.751053E+01     2.812142E-04
   2.166667E-02     1.379294E-01     1.751053E+01     2.835982E-04
   2.183333E-02     1.382884E-01     1.751053E+01     2.859854E-04
   2.200000E-02     1.386479E-01     1.751053E+01     2.883758E-04
   2.216667E-02     1.390078E-01     1.751054E+01     2.907693E-04
   2.233333E-02     1.393682E-01     1.751054E+01     2.931659E-04
   2.250000E-02     1.397291E-01     1.751054E+01     2.955657E-04
   2.266667E-02     1.400905E-01     1.751054E+01     2.979687E-04
   2.283333E-02     1.404523E-01     1.751055E+01     3.003748E-04
   2.300000E-02     1.408145E-01     1.751055E+01     3.027840E-04
   2.316667E-02     1.411773E-01     1.751055E+01     3.051964E-04
   2.333333E-02     1.415405E-01     1.751055E+01     3.076119E-04
   2.350000E-02     1.419042E-01     1.751055E+01     3.100306E-04
   2.366667E-02     1.422683E-01     1.751056E+01     3.124525E-04
   2.383333E-02     1.426329E-01     1.751056E+01     3.148775E-04
   2.400000E-02     1.429980E-01     1.751056E+01     3.173056E-04
   2.416667E-02     1.433635E-01     1.751056E+01     3.197369E-04
   2.433333E-02     1.437296E-01     1.751057E+01     3.221713E-04
   2.450000E-02     1.440960E-01     1.751057E+01     3.246089E-04
   2.466667E-02     1.444630E-01     1.751057E+01     3.270497E-04
   2.483333E-02     1.448304E-01     1.751057E+01     3.294935E-04
   2.500000E-02     1.451983E-01     1.751058E+01     3.319406E-04
   2.516667E-02     1.455666E-01     1.751058E+01     3.343908E-04
   2.533333E-02     1.459354E-01     1.751058E+01     3.368441E-04
   2.550000E-02     1.463047E-01     1.751058E+01     3.393006E-04
   2.566667E-02     1.466744E-01     1.751059E+01     3.417602E-04
   2.583333E-02     1.470446E-01     1.751059E+01     3.442230E-04
   2.600000E-02     1.474153E-01     1.751059E+01     3.466890E-04
   2.616667E-02     1.477864E-01     1.751059E+01     3.491581E-04
   2.633333E-02     1.481580E-01     1.751060E+01     3.516303E-04
   2.650000E-02     1.485301E-01     1.751060E+01     3.541057E-04
   2.666667E-02     1.489027E-01     1.751060E+01     3.565843E-04
   2.683333E-02     1.492757E-01     1.751060E+01     3.590660E-04
   2.700000E-02     1.496491E-01     1.751061E+01     3.615509E-04
   2.716667E-02     1.500231E-01     1.751061E+01     3.640389E-04
   2.733333E-02     1.503975E-01     1.751061E+01     3.665301E-04
   2.750000E-02     1.507724E-01     1.751061E+01     3.690244E-04
   2.766667E-02     1.511477E-01     1.751062E+01     3.715219E-04
   2.783333E-02     1.515235E-01     1.751062E+01     3.740225E-04
   2.800000E-02     1.518998E-01     1.751062E+01     3.765263E-04
   2.816667E-02     1.522765E-01     1.751062E+01     3.790332E-04
   2.833333E-02     1.526537E-01     1.751063E+01     3.815433E-04
   2.850000E-02     1.530314E-01     1.751063E+01     3.840565E-04
   2.866667E-02     1.534096E-01     1.751063E+01     3.865729E-04
   2.883333E-02     1.537882E-01     1.751063E+01     3.890925E-04
   2.900000E-02     1.541672E-01     1.751064E+01     3.916152E-04
   2.916667E-02     1.545468E-01     1.751064E+01     3.941411E-04
   2.933333E-02     1.549268E-01     1.751064E+01     3.966701E-04
