# PE_center   Total   1SE   2SE   3SE   4SE   5SE   6SE   7SE
   227.5   0.278094E-05   0.174828-150   0.866774E-57   0.601103E-28   0.265617E-15   0.365566E-09   0.266646E-06   0.251393E-05
   232.5   0.161414E-05   0.408984-158   0.426321E-60   0.816205E-30   0.189512E-16   0.705788E-10   0.999688E-07   0.151410E-05
   237.5   0.892129E-06   0.620767-166   0.168882E-63   0.959380E-32   0.121346E-17   0.124965E-10   0.348711E-07   0.857246E-06
   242.5   0.467566E-06   0.608214-174   0.538321E-67   0.975876E-34   0.697222E-19   0.202903E-11   0.113170E-07   0.456247E-06
   247.5   0.231684E-06   0.387768-182   0.138291E-70   0.859478E-36   0.359550E-20   0.302139E-12   0.341720E-08   0.228267E-06
   252.5   0.108318E-06   0.160822-190   0.286269E-74   0.655368E-38   0.166411E-21   0.412613E-13   0.960036E-09   0.107358E-06
   257.5   0.477153E-07   0.430330-199   0.476772E-78   0.432441E-40   0.691114E-23   0.516724E-14   0.250937E-09   0.474644E-07
   262.5   0.197875E-07   0.747377-208   0.639646E-82   0.247024E-42   0.257594E-24   0.593451E-15   0.610261E-10   0.197264E-07
   267.5   0.772074E-08   0.847138-217   0.691955E-86   0.122196E-44   0.861779E-26   0.625094E-16   0.138086E-10   0.770693E-08
   272.5   0.283336E-08   0.619198-226   0.602161E-90   0.523050E-47   0.258696E-27   0.603781E-17   0.290697E-11   0.283045E-08
   277.5   0.977748E-09   0.292808-235   0.421860E-94   0.193780E-49   0.696893E-29   0.534820E-18   0.569375E-12   0.977179E-09
   282.5   0.317243E-09   0.907255-245   0.238499E-98   0.621878E-52   0.168527E-30   0.434505E-19   0.103765E-12   0.317139E-09
   287.5   0.967705E-10   0.181185-254   0.108453-102   0.172681E-54   0.365673E-32   0.323705E-20   0.175937E-13   0.967529E-10
   292.5   0.277499E-10   0.233170-264   0.396709-107   0.414897E-57   0.711946E-34   0.221143E-21   0.277535E-14   0.277471E-10
   297.5   0.748101E-11   0.197535-274   0.117219-111   0.863824E-60   0.124451E-35   0.138577E-22   0.407373E-15   0.748061E-11
   302.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   307.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   312.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   317.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   322.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   327.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   332.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   337.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
