# Tabla NEST para RED-100
# Xe NR, rho=2.96 g/cm3, E_drift=218.0 V/cm, NEST 2.4.5
# F estimado con 20000 muestras de GetQuanta por energia
# T_nr[keV]   Qy[e-/keV]   F=Var(Ne)/<Ne>
# N_puntos = 4000
0.725231   6.460683   0.407155
0.728182   6.467610   0.413154
0.731133   6.474462   0.408163
0.734084   6.481239   0.416094
0.737034   6.487942   0.410227
0.739985   6.494571   0.406835
0.742936   6.501128   0.407099
0.745886   6.507614   0.407482
0.748837   6.514029   0.412353
0.751788   6.520374   0.414183
0.754739   6.526650   0.405422
0.757689   6.532858   0.411303
0.760640   6.538999   0.406818
0.763591   6.545073   0.411468
0.766542   6.551082   0.410849
0.769492   6.557025   0.411256
0.772443   6.562905   0.409133
0.775394   6.568721   0.408550
0.778345   6.574475   0.416274
0.781295   6.580166   0.416492
0.784246   6.585797   0.410529
0.787197   6.591367   0.419073
0.790148   6.596878   0.412352
0.793098   6.602329   0.418018
0.796049   6.607722   0.412514
0.799000   6.613058   0.410659
0.801950   6.618336   0.406054
0.804901   6.623559   0.407592
0.807852   6.628726   0.404316
0.810803   6.633837   0.418528
0.813753   6.638895   0.411538
0.816704   6.643899   0.414586
0.819655   6.648849   0.417225
0.822606   6.653747   0.414549
0.825556   6.658594   0.411303
0.828507   6.663389   0.421606
0.831458   6.668133   0.416835
0.834409   6.672828   0.418924
0.837359   6.677473   0.414160
0.840310   6.682068   0.415856
0.843261   6.686616   0.411595
0.846212   6.691116   0.417045
0.849162   6.695568   0.418368
0.852113   6.699974   0.416789
0.855064   6.704333   0.414879
0.858015   6.708647   0.418124
0.860965   6.712915   0.421336
0.863916   6.717139   0.418432
0.866867   6.721319   0.418283
0.869817   6.725455   0.415829
0.872768   6.729548   0.412679
0.875719   6.733598   0.425493
0.878670   6.737606   0.427938
0.881620   6.741572   0.416888
0.884571   6.745496   0.410504
0.887522   6.749380   0.409585
0.890473   6.753224   0.414265
0.893423   6.757028   0.414545
0.896374   6.760792   0.423211
0.899325   6.764517   0.415310
0.902276   6.768203   0.411175
0.905226   6.771851   0.415113
0.908177   6.775462   0.416976
0.911128   6.779035   0.412543
0.914079   6.782571   0.421471
0.917029   6.786070   0.418523
