# Tabla NEST para RED-100 con ARGON  (Ar, retroceso ELECTRONICO)
# Uso: fondo beta de 39Ar (39Ar -> 39K + e- + nubar).  El espectro
#      beta y la actividad viven en chi2_bkg_nest.f90.
# Modelo: nestpy.LArNEST get_er_yields, E_drift=218.0 V/cm, rho=1.4
# F_er = 0.3 constante (get_fano_er no disponible) - sistematico
# E_er < 0.2 keV: EXTRAPOLACION DE MODELO (sin datos ER de LAr a esa energia)
# E_er[keV]   Qy_er[e-/keV]   F_er
# N_puntos = 4000
2.694561e-02   53.036777   0.300000
2.699494e-02   53.036763   0.300000
2.704435e-02   53.036749   0.300000
2.709385e-02   53.036734   0.300000
2.714344e-02   53.036720   0.300000
2.719313e-02   53.036706   0.300000
2.724290e-02   53.036691   0.300000
2.729277e-02   53.036677   0.300000
2.734273e-02   53.036662   0.300000
2.739278e-02   53.036648   0.300000
2.744292e-02   53.036633   0.300000
2.749315e-02   53.036618   0.300000
2.754348e-02   53.036604   0.300000
2.759389e-02   53.036589   0.300000
2.764440e-02   53.036574   0.300000
2.769500e-02   53.036559   0.300000
2.774570e-02   53.036544   0.300000
2.779648e-02   53.036529   0.300000
2.784736e-02   53.036514   0.300000
2.789834e-02   53.036499   0.300000
2.794940e-02   53.036484   0.300000
2.800056e-02   53.036469   0.300000
2.805181e-02   53.036454   0.300000
2.810316e-02   53.036439   0.300000
2.815460e-02   53.036424   0.300000
2.820614e-02   53.036408   0.300000
2.825777e-02   53.036393   0.300000
2.830949e-02   53.036378   0.300000
2.836131e-02   53.036362   0.300000
2.841322e-02   53.036347   0.300000
2.846523e-02   53.036331   0.300000
2.851734e-02   53.036316   0.300000
2.856953e-02   53.036300   0.300000
2.862183e-02   53.036284   0.300000
2.867422e-02   53.036269   0.300000
2.872671e-02   53.036253   0.300000
2.877929e-02   53.036237   0.300000
2.883197e-02   53.036221   0.300000
2.888474e-02   53.036205   0.300000
2.893761e-02   53.036189   0.300000
2.899058e-02   53.036173   0.300000
2.904365e-02   53.036157   0.300000
2.909681e-02   53.036141   0.300000
2.915007e-02   53.036125   0.300000
2.920343e-02   53.036109   0.300000
2.925688e-02   53.036093   0.300000
2.931043e-02   53.036076   0.300000
2.936409e-02   53.036060   0.300000
2.941783e-02   53.036044   0.300000
2.947168e-02   53.036027   0.300000
2.952563e-02   53.036011   0.300000
2.957967e-02   53.035994   0.300000
2.963382e-02   53.035978   0.300000
2.968806e-02   53.035961   0.300000
2.974240e-02   53.035944   0.300000
2.979684e-02   53.035927   0.300000
2.985138e-02   53.035911   0.300000
2.990603e-02   53.035894   0.300000
2.996077e-02   53.035877   0.300000
3.001561e-02   53.035860   0.300000
3.007055e-02   53.035843   0.300000
3.012559e-02   53.035826   0.300000
3.018073e-02   53.035809   0.300000
3.023598e-02   53.035792   0.300000
3.029132e-02   53.035774   0.300000
3.034677e-02   53.035757   0.300000
3.040232e-02   53.035740   0.300000
3.045797e-02   53.035722   0.300000
3.051372e-02   53.035705   0.300000
3.056957e-02   53.035688   0.300000
3.062553e-02   53.035670   0.300000
3.068159e-02   53.035652   0.300000
3.073775e-02   53.035635   0.300000
3.079401e-02   53.035617   0.300000
3.085038e-02   53.035599   0.300000
3.090685e-02   53.035581   0.300000
3.096342e-02   53.035564   0.300000
3.102010e-02   53.035546   0.300000
3.107688e-02   53.035528   0.300000
3.113376e-02   53.035510   0.300000
3.119075e-02   53.035492   0.300000
3.124784e-02   53.035473   0.300000
3.130504e-02   53.035455   0.300000
3.136234e-02   53.035437   0.300000
3.141975e-02   53.035419   0.300000
3.147726e-02   53.035400   0.300000
3.153488e-02   53.035382   0.300000
3.159260e-02   53.035363   0.300000
3.165043e-02   53.035345   0.300000
3.170836e-02   53.035326   0.300000
3.176640e-02   53.035308   0.300000
3.182455e-02   53.035289   0.300000
3.188280e-02   53.035270   0.300000
3.194116e-02   53.035251   0.300000
3.199962e-02   53.035232   0.300000
3.205820e-02   53.035213   0.300000
3.211688e-02   53.035194   0.300000
3.217567e-02   53.035175   0.300000
3.223456e-02   53.035156   0.300000
3.229357e-02   53.035137   0.300000
3.235268e-02   53.035118   0.300000
3.241190e-02   53.035098   0.300000
3.247122e-02   53.035079   0.300000
3.253066e-02   53.035059   0.300000
3.259021e-02   53.035040   0.300000
3.264986e-02   53.035020   0.300000
3.270962e-02   53.035001   0.300000
3.276950e-02   53.034981   0.300000
3.282948e-02   53.034961   0.300000
3.288957e-02   53.034941   0.300000
3.294977e-02   53.034922   0.300000
3.301009e-02   53.034902   0.300000
3.307051e-02   53.034882   0.300000
3.313104e-02   53.034861   0.300000
3.319169e-02   53.034841   0.300000
3.325244e-02   53.034821   0.300000
3.331331e-02   53.034801   0.300000
3.337429e-02   53.034781   0.300000
3.343538e-02   53.034760   0.300000
3.349658e-02   53.034740   0.300000
3.355789e-02   53.034719   0.300000
3.361932e-02   53.034699   0.300000
3.368085e-02   53.034678   0.300000
3.374250e-02   53.034657   0.300000
3.380427e-02   53.034636   0.300000
3.386614e-02   53.034615   0.300000
3.392813e-02   53.034595   0.300000
3.399024e-02   53.034574   0.300000
3.405245e-02   53.034552   0.300000
3.411478e-02   53.034531   0.300000
3.417723e-02   53.034510   0.300000
3.423979e-02   53.034489   0.300000
3.430246e-02   53.034467   0.300000
3.436525e-02   53.034446   0.300000
3.442815e-02   53.034425   0.300000
3.449117e-02   53.034403   0.300000
3.455431e-02   53.034381   0.300000
3.461756e-02   53.034360   0.300000
3.468092e-02   53.034338   0.300000
3.474440e-02   53.034316   0.300000
3.480800e-02   53.034294   0.300000
3.487171e-02   53.034272   0.300000
3.493554e-02   53.034250   0.300000
3.499949e-02   53.034228   0.300000
3.506356e-02   53.034206   0.300000
3.512774e-02   53.034184   0.300000
3.519204e-02   53.034161   0.300000
3.525645e-02   53.034139   0.300000
3.532099e-02   53.034116   0.300000
3.538564e-02   53.034094   0.300000
3.545041e-02   53.034071   0.300000
3.551530e-02   53.034048   0.300000
3.558031e-02   53.034026   0.300000
3.564544e-02   53.034003   0.300000
3.571068e-02   53.033980   0.300000
3.577605e-02   53.033957   0.300000
3.584154e-02   53.033934   0.300000
3.590714e-02   53.033911   0.300000
3.597287e-02   53.033887   0.300000
3.603871e-02   53.033864   0.300000
3.610468e-02   53.033841   0.300000
3.617077e-02   53.033817   0.300000
3.623698e-02   53.033794   0.300000
3.630330e-02   53.033770   0.300000
3.636976e-02   53.033746   0.300000
3.643633e-02   53.033723   0.300000
3.650302e-02   53.033699   0.300000
3.656984e-02   53.033675   0.300000
3.663678e-02   53.033651   0.300000
3.670384e-02   53.033627   0.300000
3.677102e-02   53.033602   0.300000
3.683833e-02   53.033578   0.300000
3.690576e-02   53.033554   0.300000
3.697331e-02   53.033529   0.300000
3.704099e-02   53.033505   0.300000
3.710879e-02   53.033480   0.300000
3.717672e-02   53.033456   0.300000
3.724477e-02   53.033431   0.300000
3.731294e-02   53.033406   0.300000
3.738124e-02   53.033381   0.300000
3.744966e-02   53.033356   0.300000
3.751821e-02   53.033331   0.300000
3.758689e-02   53.033306   0.300000
3.765569e-02   53.033281   0.300000
3.772461e-02   53.033255   0.300000
3.779367e-02   53.033230   0.300000
3.786285e-02   53.033204   0.300000
3.793215e-02   53.033179   0.300000
3.800158e-02   53.033153   0.300000
3.807114e-02   53.033127   0.300000
3.814083e-02   53.033101   0.300000
3.821064e-02   53.033075   0.300000
3.828059e-02   53.033049   0.300000
3.835066e-02   53.033023   0.300000
3.842085e-02   53.032997   0.300000
3.849118e-02   53.032971   0.300000
3.856164e-02   53.032944   0.300000
3.863222e-02   53.032918   0.300000
3.870294e-02   53.032891   0.300000
3.877378e-02   53.032865   0.300000
3.884475e-02   53.032838   0.300000
3.891585e-02   53.032811   0.300000
3.898709e-02   53.032784   0.300000
3.905845e-02   53.032757   0.300000
3.912995e-02   53.032730   0.300000
3.920157e-02   53.032703   0.300000
3.927333e-02   53.032675   0.300000
3.934521e-02   53.032648   0.300000
3.941723e-02   53.032620   0.300000
3.948938e-02   53.032593   0.300000
3.956167e-02   53.032565   0.300000
3.963408e-02   53.032537   0.300000
3.970663e-02   53.032510   0.300000
3.977931e-02   53.032482   0.300000
3.985212e-02   53.032453   0.300000
3.992507e-02   53.032425   0.300000
3.999815e-02   53.032397   0.300000
4.007136e-02   53.032369   0.300000
4.014471e-02   53.032340   0.300000
4.021819e-02   53.032312   0.300000
4.029181e-02   53.032283   0.300000
4.036556e-02   53.032254   0.300000
4.043945e-02   53.032225   0.300000
4.051347e-02   53.032196   0.300000
4.058763e-02   53.032167   0.300000
4.066192e-02   53.032138   0.300000
4.073635e-02   53.032109   0.300000
4.081091e-02   53.032080   0.300000
4.088562e-02   53.032050   0.300000
4.096046e-02   53.032020   0.300000
4.103543e-02   53.031991   0.300000
