# A   chi2_sinNuisance   chi2_conNuisance
  3.810381E+00    1.056651E+02    2.297336E+01
  3.840384E+00    1.078022E+02    2.310349E+01
  3.870387E+00    1.099622E+02    2.323219E+01
  3.900390E+00    1.121453E+02    2.335948E+01
  3.930393E+00    1.143513E+02    2.348538E+01
  3.960396E+00    1.165803E+02    2.360989E+01
  3.990399E+00    1.188323E+02    2.373305E+01
  4.020402E+00    1.211073E+02    2.385486E+01
  4.050405E+00    1.234052E+02    2.397534E+01
  4.080408E+00    1.257261E+02    2.409451E+01
  4.110411E+00    1.280700E+02    2.421238E+01
  4.140414E+00    1.304369E+02    2.432897E+01
  4.170417E+00    1.328267E+02    2.444430E+01
  4.200420E+00    1.352395E+02    2.455838E+01
  4.230423E+00    1.376753E+02    2.467122E+01
  4.260426E+00    1.401341E+02    2.478285E+01
  4.290429E+00    1.426159E+02    2.489327E+01
  4.320432E+00    1.451206E+02    2.500251E+01
  4.350435E+00    1.476483E+02    2.511057E+01
  4.380438E+00    1.501990E+02    2.521748E+01
  4.410441E+00    1.527727E+02    2.532325E+01
  4.440444E+00    1.553693E+02    2.542789E+01
  4.470447E+00    1.579890E+02    2.553142E+01
  4.500450E+00    1.606316E+02    2.563385E+01
  4.530453E+00    1.632972E+02    2.573520E+01
  4.560456E+00    1.659857E+02    2.583548E+01
  4.590459E+00    1.686973E+02    2.593470E+01
  4.620462E+00    1.714318E+02    2.603288E+01
  4.650465E+00    1.741893E+02    2.613004E+01
  4.680468E+00    1.769697E+02    2.622618E+01
  4.710471E+00    1.797732E+02    2.632131E+01
  4.740474E+00    1.825996E+02    2.641547E+01
  4.770477E+00    1.854490E+02    2.650864E+01
  4.800480E+00    1.883214E+02    2.660086E+01
  4.830483E+00    1.912168E+02    2.669212E+01
  4.860486E+00    1.941351E+02    2.678245E+01
  4.890489E+00    1.970764E+02    2.687186E+01
  4.920492E+00    2.000407E+02    2.696035E+01
  4.950495E+00    2.030280E+02    2.704794E+01
  4.980498E+00    2.060382E+02    2.713465E+01
  5.010501E+00    2.090715E+02    2.722048E+01
  5.040504E+00    2.121277E+02    2.730544E+01
  5.070507E+00    2.152068E+02    2.738955E+01
  5.100510E+00    2.183090E+02    2.747281E+01
  5.130513E+00    2.214341E+02    2.755525E+01
  5.160516E+00    2.245823E+02    2.763687E+01
  5.190519E+00    2.277534E+02    2.771767E+01
  5.220522E+00    2.309474E+02    2.779768E+01
  5.250525E+00    2.341645E+02    2.787689E+01
  5.280528E+00    2.374045E+02    2.795533E+01
  5.310531E+00    2.406675E+02    2.803300E+01
  5.340534E+00    2.439535E+02    2.810992E+01
  5.370537E+00    2.472625E+02    2.818608E+01
  5.400540E+00    2.505944E+02    2.826151E+01
  5.430543E+00    2.539493E+02    2.833620E+01
  5.460546E+00    2.573272E+02    2.841018E+01
  5.490549E+00    2.607281E+02    2.848345E+01
  5.520552E+00    2.641519E+02    2.855601E+01
  5.550555E+00    2.675988E+02    2.862789E+01
  5.580558E+00    2.710686E+02    2.869908E+01
  5.610561E+00    2.745613E+02    2.876959E+01
  5.640564E+00    2.780771E+02    2.883944E+01
  5.670567E+00    2.816159E+02    2.890864E+01
  5.700570E+00    2.851776E+02    2.897718E+01
  5.730573E+00    2.887623E+02    2.904508E+01
  5.760576E+00    2.923699E+02    2.911235E+01
  5.790579E+00    2.960006E+02    2.917900E+01
  5.820582E+00    2.996542E+02    2.924503E+01
  5.850585E+00    3.033308E+02    2.931045E+01
  5.880588E+00    3.070304E+02    2.937527E+01
  5.910591E+00    3.107530E+02    2.943950E+01
  5.940594E+00    3.144985E+02    2.950314E+01
  5.970597E+00    3.182670E+02    2.956620E+01
  6.000600E+00    3.220585E+02    2.962869E+01
  6.030603E+00    3.258730E+02    2.969061E+01
