# A   chi2(A)
  5.610561E+00    1.755211E+01
  5.640564E+00    1.755237E+01
  5.670567E+00    1.755263E+01
  5.700570E+00    1.755288E+01
  5.730573E+00    1.755314E+01
  5.760576E+00    1.755340E+01
  5.790579E+00    1.755366E+01
  5.820582E+00    1.755392E+01
  5.850585E+00    1.755417E+01
  5.880588E+00    1.755443E+01
  5.910591E+00    1.755469E+01
  5.940594E+00    1.755495E+01
  5.970597E+00    1.755521E+01
  6.000600E+00    1.755547E+01
  6.030603E+00    1.755573E+01
  6.060606E+00    1.755599E+01
  6.090609E+00    1.755626E+01
  6.120612E+00    1.755652E+01
  6.150615E+00    1.755678E+01
  6.180618E+00    1.755704E+01
  6.210621E+00    1.755730E+01
  6.240624E+00    1.755757E+01
  6.270627E+00    1.755783E+01
  6.300630E+00    1.755809E+01
  6.330633E+00    1.755836E+01
  6.360636E+00    1.755862E+01
  6.390639E+00    1.755889E+01
  6.420642E+00    1.755915E+01
  6.450645E+00    1.755942E+01
  6.480648E+00    1.755968E+01
  6.510651E+00    1.755995E+01
  6.540654E+00    1.756021E+01
  6.570657E+00    1.756048E+01
  6.600660E+00    1.756075E+01
  6.630663E+00    1.756101E+01
  6.660666E+00    1.756128E+01
  6.690669E+00    1.756155E+01
  6.720672E+00    1.756182E+01
  6.750675E+00    1.756208E+01
  6.780678E+00    1.756235E+01
  6.810681E+00    1.756262E+01
  6.840684E+00    1.756289E+01
  6.870687E+00    1.756316E+01
  6.900690E+00    1.756343E+01
  6.930693E+00    1.756370E+01
  6.960696E+00    1.756397E+01
  6.990699E+00    1.756424E+01
  7.020702E+00    1.756451E+01
  7.050705E+00    1.756478E+01
  7.080708E+00    1.756505E+01
  7.110711E+00    1.756533E+01
  7.140714E+00    1.756560E+01
  7.170717E+00    1.756587E+01
  7.200720E+00    1.756614E+01
  7.230723E+00    1.756642E+01
  7.260726E+00    1.756669E+01
  7.290729E+00    1.756696E+01
  7.320732E+00    1.756724E+01
  7.350735E+00    1.756751E+01
  7.380738E+00    1.756779E+01
  7.410741E+00    1.756806E+01
  7.440744E+00    1.756834E+01
  7.470747E+00    1.756861E+01
  7.500750E+00    1.756889E+01
  7.530753E+00    1.756917E+01
  7.560756E+00    1.756944E+01
  7.590759E+00    1.756972E+01
  7.620762E+00    1.757000E+01
  7.650765E+00    1.757027E+01
  7.680768E+00    1.757055E+01
  7.710771E+00    1.757083E+01
  7.740774E+00    1.757111E+01
  7.770777E+00    1.757139E+01
  7.800780E+00    1.757167E+01
  7.830783E+00    1.757195E+01
  7.860786E+00    1.757223E+01
  7.890789E+00    1.757251E+01
  7.920792E+00    1.757279E+01
  7.950795E+00    1.757307E+01
  7.980798E+00    1.757335E+01
  8.010801E+00    1.757363E+01
  8.040804E+00    1.757391E+01
  8.070807E+00    1.757419E+01
  8.100810E+00    1.757447E+01
  8.130813E+00    1.757476E+01
  8.160816E+00    1.757504E+01
  8.190819E+00    1.757532E+01
  8.220822E+00    1.757561E+01
  8.250825E+00    1.757589E+01
  8.280828E+00    1.757617E+01
  8.310831E+00    1.757646E+01
  8.340834E+00    1.757674E+01
  8.370837E+00    1.757703E+01
  8.400840E+00    1.757731E+01
  8.430843E+00    1.757760E+01
  8.460846E+00    1.757789E+01
  8.490849E+00    1.757817E+01
  8.520852E+00    1.757846E+01
  8.550855E+00    1.757875E+01
  8.580858E+00    1.757903E+01
  8.610861E+00    1.757932E+01
  8.640864E+00    1.757961E+01
  8.670867E+00    1.757990E+01
  8.700870E+00    1.758018E+01
  8.730873E+00    1.758047E+01
  8.760876E+00    1.758076E+01
  8.790879E+00    1.758105E+01
  8.820882E+00    1.758134E+01
  8.850885E+00    1.758163E+01
  8.880888E+00    1.758192E+01
  8.910891E+00    1.758221E+01
  8.940894E+00    1.758250E+01
  8.970897E+00    1.758279E+01
  9.000900E+00    1.758309E+01
  9.030903E+00    1.758338E+01
  9.060906E+00    1.758367E+01
  9.090909E+00    1.758396E+01
  9.120912E+00    1.758426E+01
  9.150915E+00    1.758455E+01
  9.180918E+00    1.758484E+01
  9.210921E+00    1.758514E+01
  9.240924E+00    1.758543E+01
  9.270927E+00    1.758572E+01
  9.300930E+00    1.758602E+01
  9.330933E+00    1.758631E+01
  9.360936E+00    1.758661E+01
  9.390939E+00    1.758691E+01
  9.420942E+00    1.758720E+01
  9.450945E+00    1.758750E+01
  9.480948E+00    1.758779E+01
  9.510951E+00    1.758809E+01
  9.540954E+00    1.758839E+01
  9.570957E+00    1.758869E+01
  9.600960E+00    1.758898E+01
  9.630963E+00    1.758928E+01
  9.660966E+00    1.758958E+01
  9.690969E+00    1.758988E+01
  9.720972E+00    1.759018E+01
  9.750975E+00    1.759048E+01
  9.780978E+00    1.759078E+01
  9.810981E+00    1.759108E+01
  9.840984E+00    1.759138E+01
  9.870987E+00    1.759168E+01
  9.900990E+00    1.759198E+01
  9.930993E+00    1.759228E+01
  9.960996E+00    1.759258E+01
  9.990999E+00    1.759288E+01
  1.002100E+01    1.759319E+01
  1.005101E+01    1.759349E+01
  1.008101E+01    1.759379E+01
  1.011101E+01    1.759409E+01
  1.014101E+01    1.759440E+01
  1.017102E+01    1.759470E+01
  1.020102E+01    1.759501E+01
  1.023102E+01    1.759531E+01
  1.026103E+01    1.759561E+01
  1.029103E+01    1.759592E+01
  1.032103E+01    1.759623E+01
  1.035104E+01    1.759653E+01
  1.038104E+01    1.759684E+01
  1.041104E+01    1.759714E+01
  1.044104E+01    1.759745E+01
  1.047105E+01    1.759776E+01
  1.050105E+01    1.759806E+01
  1.053105E+01    1.759837E+01
  1.056106E+01    1.759868E+01
  1.059106E+01    1.759899E+01
  1.062106E+01    1.759930E+01
  1.065107E+01    1.759960E+01
  1.068107E+01    1.759991E+01
  1.071107E+01    1.760022E+01
  1.074107E+01    1.760053E+01
  1.077108E+01    1.760084E+01
  1.080108E+01    1.760115E+01
  1.083108E+01    1.760146E+01
  1.086109E+01    1.760177E+01
  1.089109E+01    1.760209E+01
  1.092109E+01    1.760240E+01
  1.095110E+01    1.760271E+01
  1.098110E+01    1.760302E+01
  1.101110E+01    1.760333E+01
  1.104110E+01    1.760365E+01
  1.107111E+01    1.760396E+01
  1.110111E+01    1.760427E+01
  1.113111E+01    1.760459E+01
  1.116112E+01    1.760490E+01
  1.119112E+01    1.760522E+01
  1.122112E+01    1.760553E+01
  1.125113E+01    1.760585E+01
  1.128113E+01    1.760616E+01
  1.131113E+01    1.760648E+01
  1.134113E+01    1.760679E+01
  1.137114E+01    1.760711E+01
  1.140114E+01    1.760743E+01
  1.143114E+01    1.760774E+01
  1.146115E+01    1.760806E+01
  1.149115E+01    1.760838E+01
  1.152115E+01    1.760869E+01
  1.155116E+01    1.760901E+01
  1.158116E+01    1.760933E+01
  1.161116E+01    1.760965E+01
  1.164116E+01    1.760997E+01
  1.167117E+01    1.761029E+01
  1.170117E+01    1.761061E+01
  1.173117E+01    1.761093E+01
  1.176118E+01    1.761125E+01
  1.179118E+01    1.761157E+01
  1.182118E+01    1.761189E+01
  1.185119E+01    1.761221E+01
  1.188119E+01    1.761253E+01
  1.191119E+01    1.761285E+01
  1.194119E+01    1.761318E+01
  1.197120E+01    1.761350E+01
  1.200120E+01    1.761382E+01
  1.203120E+01    1.761415E+01
  1.206121E+01    1.761447E+01
  1.209121E+01    1.761479E+01
  1.212121E+01    1.761512E+01
  1.215122E+01    1.761544E+01
  1.218122E+01    1.761577E+01
  1.221122E+01    1.761609E+01
  1.224122E+01    1.761642E+01
  1.227123E+01    1.761674E+01
  1.230123E+01    1.761707E+01
  1.233123E+01    1.761739E+01
  1.236124E+01    1.761772E+01
  1.239124E+01    1.761805E+01
  1.242124E+01    1.761837E+01
  1.245125E+01    1.761870E+01
  1.248125E+01    1.761903E+01
  1.251125E+01    1.761936E+01
  1.254125E+01    1.761969E+01
  1.257126E+01    1.762001E+01
  1.260126E+01    1.762034E+01
  1.263126E+01    1.762067E+01
  1.266127E+01    1.762100E+01
  1.269127E+01    1.762133E+01
  1.272127E+01    1.762166E+01
